subject,n_pairs,qtip_mean,nwc_mean,mean_diff_nwc_minus_qtip,t_stat,p_value
mmlu_prehistory,5,0.6962962962962962,0.6802469135802469,-0.016049382716049367,-7.076303701373639,0.0021047915678584256
mmlu_college_mathematics,5,0.378,0.346,-0.031999999999999994,-3.9999999999999956,0.016130089900092588
mmlu_elementary_mathematics,5,0.38571428571428573,0.40052910052910046,0.014814814814814814,3.150246122592865,0.03450585441753224
mmlu_management,5,0.8116504854368932,0.8271844660194174,0.015533980582524264,3.1378581622109443,0.03491970667453905
mmlu_virology,5,0.5120481927710843,0.5228915662650603,0.010843373493975905,2.7136021011998803,0.053338261045688604
mmlu_high_school_mathematics,5,0.36,0.37777777777777777,0.01777777777777777,2.3040737315391304,0.08256829674577398
mmlu_electrical_engineering,5,0.5544827586206897,0.5806896551724138,0.026206896551724135,2.0792674896254146,0.10611086227491948
mmlu_jurisprudence,5,0.7148148148148149,0.6796296296296296,-0.03518518518518521,-2.079267489625414,0.10611086227491955
mmlu_high_school_statistics,5,0.4453703703703703,0.5018518518518519,0.05648148148148148,1.7333322981684847,0.15806537481225874
mmlu_college_biology,5,0.7305555555555555,0.7208333333333333,-0.009722222222222233,-1.7232808737106595,0.15993479883742137
mmlu_high_school_geography,5,0.7343434343434343,0.7232323232323232,-0.011111111111111138,-1.7179113807746742,0.16094301069703149
mmlu_business_ethics,5,0.58,0.5559999999999999,-0.023999999999999955,-1.6721592342998794,0.16981022226517822
mmlu_world_religions,5,0.7847953216374269,0.7719298245614035,-0.012865497076023403,-1.6678156958735932,0.17067830985568577
mmlu_formal_logic,5,0.3888888888888889,0.41428571428571426,0.025396825396825397,1.6546806079840617,0.1733318316815239
mmlu_professional_accounting,5,0.4382978723404255,0.42695035460992903,-0.011347517730496425,-1.5540573797716182,0.1951379175860545
mmlu_logical_fallacies,5,0.6969325153374232,0.6822085889570552,-0.014723926380368102,-1.5000000000000016,0.20799999999999935
mmlu_philosophy,5,0.6900321543408359,0.6739549839228296,-0.016077170418006402,-1.4940357616679896,0.20947102710908
mmlu_high_school_macroeconomics,5,0.5656410256410257,0.5861538461538461,0.020512820512820495,1.4729193886373162,0.21476446015241607
mmlu_nutrition,5,0.6823529411764706,0.696078431372549,0.013725490196078449,1.4720992381888454,0.21497276239054086
mmlu_high_school_computer_science,5,0.6,0.614,0.014000000000000012,1.4288690166235205,0.22624521874205022
mmlu_college_medicine,5,0.5722543352601155,0.6069364161849711,0.03468208092485545,1.3062010325523232,0.2615313530606079
mmlu_clinical_knowledge,5,0.6883018867924529,0.7011320754716981,0.01283018867924528,1.2796068801414684,0.26986327671789445
mmlu_college_computer_science,5,0.438,0.47800000000000004,0.040000000000000015,1.1595420713048974,0.31073575488835875
mmlu_high_school_us_history,5,0.7862745098039217,0.7656862745098039,-0.020588235294117664,-1.1129977740066774,0.32808326322283743
mmlu_abstract_algebra,5,0.288,0.274,-0.013999999999999985,-1.086610735988865,0.3383068873788806
mmlu_human_aging,5,0.6358744394618834,0.6152466367713004,-0.020627802690582953,-1.085437109820919,0.3387682393232547
mmlu_computer_security,5,0.7300000000000001,0.74,0.010000000000000009,1.0540925533894598,0.35130100296326006
mmlu_human_sexuality,5,0.7145038167938932,0.7236641221374046,0.009160305343511444,1.0366421106976318,0.3584563446229644
mmlu_security_studies,5,0.6922448979591836,0.702857142857143,0.0106122448979592,1.0000000000000013,0.37390096630005837
mmlu_moral_disputes,5,0.6491329479768786,0.6352601156069364,-0.01387283236994219,-0.9810229431759457,0.3821257899957514
mmlu_college_chemistry,5,0.39,0.42000000000000004,0.029999999999999992,0.9583148474999098,0.39217243532339846
mmlu_public_relations,5,0.6563636363636364,0.6472727272727272,-0.009090909090909104,-0.9128709291752779,0.41295436655114776
mmlu_high_school_microeconomics,5,0.6226890756302522,0.6512605042016807,0.02857142857142858,0.9003661402650395,0.4188323695431195
mmlu_professional_psychology,5,0.6447712418300654,0.631045751633987,-0.013725490196078449,-0.894123119194088,0.4217928476928267
mmlu_professional_law,5,0.43572359843546293,0.42985658409387223,-0.005867014341590615,-0.8085499530853882,0.46411878241526033
mmlu_machine_learning,5,0.4303571428571429,0.3982142857142857,-0.032142857142857126,-0.7844645405527355,0.4766206672728419
mmlu_marketing,5,0.847008547008547,0.8307692307692308,-0.016239316239316202,-0.7113062295575836,0.5161761520396758
mmlu_moral_scenarios,5,0.24178770949720668,0.24737430167597765,0.005586592178770944,0.65766705220582,0.5466739233656547
mmlu_professional_medicine,5,0.6625000000000001,0.6720588235294118,0.00955882352941173,0.6018905549065725,0.5796988013426919
mmlu_high_school_physics,5,0.4039735099337748,0.39602649006622515,-0.007947019867549676,-0.5897678246195895,0.5870496397870557
mmlu_astronomy,5,0.6447368421052632,0.6592105263157894,0.014473684210526272,0.578947368421051,0.5936620951761046
mmlu_high_school_biology,5,0.7122580645161289,0.7083870967741935,-0.0038709677419354717,-0.5511782546095493,0.6108504002950295
mmlu_anatomy,5,0.6355555555555554,0.6414814814814814,0.005925925925925957,0.45146611838648265,0.6750488765960362
mmlu_conceptual_physics,5,0.5191489361702128,0.5234042553191489,0.004255319148936176,0.404888165089458,0.706277463494255
mmlu_sociology,5,0.8069651741293532,0.8039800995024875,-0.0029850746268656803,-0.36788360369097983,0.7316000830813214
mmlu_global_facts,5,0.302,0.29,-0.011999999999999978,-0.3595329106271873,0.7373738234889644
mmlu_high_school_european_history,5,0.7054545454545454,0.7042424242424242,-0.00121212121212122,-0.3429971702850204,0.7488684500235245
mmlu_high_school_chemistry,5,0.5024630541871922,0.496551724137931,-0.005911330049261088,-0.32855140691603624,0.758975367887433
mmlu_miscellaneous,5,0.7767560664112388,0.772669220945083,-0.0040868454661558305,-0.298349656251282,0.780292567674815
mmlu_college_physics,5,0.3784313725490196,0.37450980392156863,-0.003921568627450989,-0.21504133222818858,0.840254137691202
mmlu_econometrics,5,0.38245614035087716,0.37894736842105264,-0.0035087719298245723,-0.2062842492517594,0.8466432357935869
mmlu_high_school_government_and_politics,5,0.8134715025906736,0.8155440414507773,0.0020725388601036342,0.17440828807877937,0.8700161552788246
mmlu_international_law,5,0.7504132231404959,0.7520661157024794,0.0016528925619834877,0.125491161027633,0.9061891454139099
mmlu_high_school_world_history,5,0.790717299578059,0.7915611814345992,0.0008438818565400741,0.07943014707895284,0.9405055628184115
