subject,qtip_key,nwc_key,qtip_bpp,nwc_bpp,abs_bpp_gap,qtip_score,nwc_score,diff_nwc_minus_qtip
mmlu_abstract_algebra,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.29,0.23,-0.05999999999999997
mmlu_anatomy,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5185185185185185,0.5259259259259259,0.007407407407407418
mmlu_astronomy,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.4868421052631579,0.5921052631578947,0.10526315789473678
mmlu_business_ethics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6,0.52,-0.07999999999999996
mmlu_clinical_knowledge,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5584905660377358,0.6075471698113207,0.049056603773584895
mmlu_college_biology,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5833333333333334,0.5902777777777778,0.00694444444444442
mmlu_college_chemistry,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.28,0.43,0.14999999999999997
mmlu_college_computer_science,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.27,0.44,0.16999999999999998
mmlu_college_mathematics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.33,0.28,-0.04999999999999999
mmlu_college_medicine,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.4161849710982659,0.5549132947976878,0.1387283236994219
mmlu_college_physics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.3627450980392157,0.3137254901960784,-0.04901960784313725
mmlu_computer_security,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.63,0.63,0.0
mmlu_conceptual_physics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.46808510638297873,0.4595744680851064,-0.008510638297872353
mmlu_econometrics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.35964912280701755,0.3157894736842105,-0.04385964912280704
mmlu_electrical_engineering,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.4689655172413793,0.5448275862068965,0.07586206896551723
mmlu_elementary_mathematics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.29894179894179895,0.3201058201058201,0.021164021164021163
mmlu_formal_logic,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.2777777777777778,0.35714285714285715,0.07936507936507936
mmlu_global_facts,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.37,0.26,-0.10999999999999999
mmlu_high_school_biology,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6129032258064516,0.6225806451612903,0.009677419354838679
mmlu_high_school_chemistry,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.41379310344827586,0.43842364532019706,0.024630541871921208
mmlu_high_school_computer_science,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.46,0.46,0.0
mmlu_high_school_european_history,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6363636363636364,0.6424242424242425,0.0060606060606061
mmlu_high_school_geography,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6515151515151515,0.6212121212121212,-0.030303030303030276
mmlu_high_school_government_and_politics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7150259067357513,0.7046632124352331,-0.010362694300518172
mmlu_high_school_macroeconomics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.4256410256410256,0.4948717948717949,0.06923076923076926
mmlu_high_school_mathematics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.2740740740740741,0.28888888888888886,0.01481481481481478
mmlu_high_school_microeconomics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.4369747899159664,0.5882352941176471,0.1512605042016807
mmlu_high_school_physics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.3576158940397351,0.36423841059602646,0.006622516556291369
mmlu_high_school_psychology,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.710091743119266,0.6954128440366972,-0.014678899082568808
mmlu_high_school_statistics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.3055555555555556,0.49074074074074076,0.18518518518518517
mmlu_high_school_us_history,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7107843137254902,0.6372549019607843,-0.07352941176470595
mmlu_high_school_world_history,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7383966244725738,0.70042194092827,-0.03797468354430378
mmlu_human_aging,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5739910313901345,0.49327354260089684,-0.08071748878923768
mmlu_human_sexuality,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5725190839694656,0.5877862595419847,0.01526717557251911
mmlu_international_law,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6694214876033058,0.628099173553719,-0.04132231404958675
mmlu_jurisprudence,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5740740740740741,0.5,-0.07407407407407407
mmlu_logical_fallacies,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6012269938650306,0.5521472392638037,-0.04907975460122693
mmlu_machine_learning,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.45535714285714285,0.2857142857142857,-0.16964285714285715
mmlu_management,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7184466019417476,0.7378640776699029,0.01941747572815533
mmlu_marketing,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7777777777777778,0.6794871794871795,-0.09829059829059827
mmlu_medical_genetics,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.68,0.57,-0.1100000000000001
mmlu_miscellaneous,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6922094508301405,0.6347381864623244,-0.05747126436781613
mmlu_moral_disputes,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5317919075144508,0.476878612716763,-0.054913294797687806
mmlu_moral_scenarios,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.2424581005586592,0.2446927374301676,0.0022346368715083775
