subject,n_pairs,quip_mean,nwc_mean,mean_diff_nwc_minus_quip,t_stat,p_value
mmlu_professional_law,3,0.4011299435028249,0.4096045197740113,0.008474576271186418,22.516660498395847,0.0019665702414969795
mmlu_college_chemistry,3,0.37666666666666665,0.4166666666666667,0.04,6.9282032302755026,0.020204102886728803
mmlu_elementary_mathematics,3,0.3536155202821869,0.3880070546737213,0.0343915343915344,5.1656761925536685,0.03549223468247903
mmlu_high_school_mathematics,3,0.32839506172839505,0.35802469135802467,0.029629629629629634,4.618802153517011,0.043817112532485
mmlu_machine_learning,3,0.4136904761904762,0.36607142857142855,-0.04761904761904764,-4.000000000000001,0.05719095841793661
mmlu_high_school_statistics,3,0.4660493827160494,0.49382716049382713,0.027777777777777773,3.927922024247851,0.05912492771923028
mmlu_college_mathematics,3,0.3466666666666667,0.3266666666666667,-0.02,-3.464101615137761,0.0741799002274483
mmlu_security_studies,3,0.6585034013605441,0.6829931972789116,0.02448979591836738,3.4641016151377486,0.07417990022744876
mmlu_high_school_computer_science,3,0.5299999999999999,0.59,0.06000000000000003,2.598076211353317,0.12168993434632001
mmlu_medical_genetics,3,0.6566666666666666,0.7166666666666667,0.05999999999999998,2.384158242717079,0.13992673137850611
mmlu_human_sexuality,3,0.6463104325699746,0.6921119592875318,0.04580152671755725,2.078460969082652,0.17323261808567444
mmlu_world_religions,3,0.7037037037037037,0.7446393762183235,0.04093567251461986,1.993231791080246,0.18442758075035204
mmlu_electrical_engineering,3,0.4942528735632184,0.567816091954023,0.0735632183908046,1.9547111097008836,0.1898085063330667
mmlu_college_biology,3,0.6481481481481481,0.6875,0.03935185185185186,1.7820842224272604,0.21668134810704467
mmlu_marketing,3,0.7706552706552706,0.8048433048433049,0.03418803418803421,1.7741310502909755,0.2180377450587103
mmlu_conceptual_physics,3,0.451063829787234,0.5063829787234043,0.0553191489361702,1.7636409634199244,0.21984395318439454
mmlu_miscellaneous,3,0.6930608769689229,0.7437207322264793,0.05065985525755642,1.701563378453321,0.2309445067148417
mmlu_high_school_us_history,3,0.6960784313725489,0.7434640522875817,0.0473856209150327,1.6715322113422824,0.23657771658564797
mmlu_sociology,3,0.7363184079601991,0.7844112769485904,0.048092868988391345,1.565852816752512,0.25787257787188245
mmlu_high_school_government_and_politics,3,0.7288428324697754,0.7962003454231433,0.06735751295336789,1.5612494995996005,0.2588550920043451
mmlu_econometrics,3,0.3362573099415205,0.35964912280701755,0.023391812865497075,1.511857892036909,0.26970325665977835
mmlu_management,3,0.7831715210355986,0.8122977346278316,0.029126213592232997,1.4411533842457842,0.2862535728536701
mmlu_logical_fallacies,3,0.5869120654396728,0.6543967280163598,0.06748466257668713,1.3749999999999998,0.3029033244230743
mmlu_professional_psychology,3,0.5539215686274509,0.5893246187363835,0.035403050108932486,1.3746035369228946,0.3030066707303878
mmlu_anatomy,3,0.562962962962963,0.6123456790123457,0.04938271604938269,1.3576884666042606,0.3074566389355565
mmlu_astronomy,3,0.6008771929824561,0.638157894736842,0.03728070175438595,1.3315427649795275,0.31449383723631497
mmlu_high_school_psychology,3,0.746177370030581,0.7651376146788991,0.018960244648318064,1.3111602967572245,0.32011658187490466
mmlu_us_foreign_policy,3,0.7599999999999999,0.8233333333333334,0.06333333333333335,1.2898040432740483,0.3261394429746868
